time,win,loss
"2022-07-10 19:11:57.536284",1,0
"2022-07-10 19:16:28.486639",1,0
"2022-07-10 19:18:27.422043",1,0
"
2022-07-10 19:26:22.338128",0,1
"
2022-07-10 19:28:26.970103",0,1
"
2022-07-10 19:31:53.583676",1,0
"
2022-07-10 19:44:28.541789",1,0
2022-07-16 15:31:04.373160,1,"0
"
2022-07-16 15:32:12.543626,1,"0
"
2022-07-16 15:33:48.472212,0,"0
"
2022-07-16 15:34:56.463596,1,"0
"
2022-07-16 15:36:04.916411,1,"0
"
2022-07-16 15:37:13.142017,1,"0
"
2022-07-16 15:58:27.370498,0,"0
"
2022-07-16 15:59:36.398418,0,"0
"
2022-07-16 19:37:48.698557,0,"0
"
2022-07-16 19:41:21.978853,0,"0
"
2022-07-16 20:14:32.859072,0,"0
"
2022-07-16 20:22:04.887697,1,"0
"
2022-07-16 20:28:54.912235,0,"0
"
2022-07-16 20:36:03.647474,1,"0
"
2022-07-16 20:40:30.579022,1,"0
"
2022-07-16 20:55:32.404197,1,"0
"
2022-07-16 20:59:36.845000,0,"0
"
2022-07-16 21:00:44.566514,1,"0
"
2022-07-16 21:04:31.190280,1,"0
"
2022-07-16 21:10:04.613334,1,"0
"
2022-07-16 21:19:30.828472,1,"0
"
2022-07-17 05:15:53.283307,0,"0
"
2022-07-17 05:17:01.846957,1,"0
"
2022-07-17 05:19:40.835979,0,"0
"
2022-07-17 05:26:12.155598,1,"0
"
2022-07-17 05:29:48.336019,1,"0
"
2022-07-17 05:37:12.989487,1,"0
"
2022-07-17 05:39:28.578860,0,"0
"
2022-07-17 05:47:13.377806,1,"0
"
2022-07-17 05:48:25.522230,0,"0
"
2022-07-17 05:50:01.294563,0,"0
"
2022-07-18 10:46:17.093094,1,"0
"
2022-07-18 10:49:40.699929,0,"0
"
2022-07-18 11:09:20.132430,1,"0
"
2022-07-18 11:48:19.120064,1,"0
"
2022-07-18 11:50:20.980552,1,"0
"
2022-07-18 12:48:22.536011,0,"0
"
2022-07-18 12:57:26.309840,0,"0
"
2022-07-18 13:03:25.293157,0,"0
"
2022-07-18 13:13:20.470718,1,"0
"
2022-07-18 13:32:24.352815,1,"0
"
2022-07-18 13:35:50.359426,0,"0
"
2022-07-18 13:38:54.684439,1,"0
"
2022-07-18 13:43:23.882873,1,"0
"
2022-07-18 13:45:52.830091,0,"0
"
2022-07-18 14:11:29.185515,1,"0
"
2022-07-18 14:14:29.822061,0,"0
"
2022-07-18 14:15:37.696005,1,"0
"
2022-07-18 14:17:38.860719,1,"0
"
2022-07-18 14:25:58.578829,0,"0
"
2022-07-18 14:28:27.636943,0,"0
"
2022-07-18 14:30:07.338128,1,"0
"
2022-07-18 14:42:59.970163,0,"0
"
2022-07-18 14:49:38.437411,1,"0
"
2022-07-18 14:54:08.190271,1,"0
"
2022-07-18 15:01:45.141782,1,"0
"
2022-07-18 15:06:37.771200,1,"0
"
2022-07-18 15:11:04.218157,0,"0
"
2022-07-18 16:37:03.072941,0,"0
"
2022-07-18 16:49:15.828261,1,"0
"
2022-07-18 16:51:18.250820,1,"0
"
2022-07-18 17:27:21.921002,1,"0
"
2022-07-18 17:35:47.402030,0,"0
"
2022-07-18 17:36:55.860753,1,"0
"
2022-07-18 17:59:27.182041,0,"0
"
2022-07-18 18:05:29.000840,1,"0
"
2022-07-18 18:37:50.626175,1,"0
"
2022-07-18 18:46:38.809726,1,"0
"
2022-07-18 18:52:19.710045,0,"0
"
2022-07-18 18:58:43.706767,0,"0
"
2022-07-18 19:02:50.203285,0,"0
"
2022-07-18 19:28:50.684704,1,"0
"
2022-07-18 19:31:34.579859,1,"0
"
2022-07-18 19:34:06.219260,1,"0
"
2022-07-18 19:39:25.395771,0,"0
"
2022-07-18 19:42:30.858292,1,"0
"
2022-07-18 19:44:48.648998,1,"0
"
2022-07-18 19:58:47.368151,0,"0
"
2022-07-18 20:03:49.170468,1,"0
"
2022-07-18 20:06:54.583250,1,"0
"
2022-07-18 20:32:57.312477,1,"0
"
2022-07-18 20:35:57.888872,0,"0
"
2022-07-18 20:38:19.629932,0,"0
"
2022-07-18 20:45:25.391321,0,"0
"
2022-07-18 20:54:59.492462,0,"0
"
2022-07-18 20:59:07.983770,1,"0
"
2022-07-19 15:26:32.710531,0,"0
"
2022-07-19 15:28:14.424124,1,"0
"
2022-07-19 15:29:23.596944,1,"0
"
2022-07-19 15:31:49.335087,1,"0
"
2022-07-19 15:32:57.842164,1,"0
"
2022-07-19 15:37:16.716424,0,"0
"
2022-07-19 15:38:24.957526,1,"0
"
2022-07-19 15:40:01.991564,0,"0
"
2022-07-19 15:42:14.463590,1,"0
"
2022-07-19 15:43:50.615471,0,"0
"
2022-07-19 15:44:58.858844,1,"0
"
2022-07-19 15:46:18.537987,1,"0
"
2022-07-19 15:47:48.375120,1,"0
"
2022-07-19 15:49:46.830507,0,"0
"
2022-07-19 15:51:45.142006,0,"0
"
2022-07-19 15:53:21.247980,0,"0
"
2022-07-19 15:54:57.688272,0,"0
"
2022-07-19 15:56:06.127117,1,"0
"
2022-07-19 15:57:46.595048,1,"0
"
2022-07-19 16:00:42.634077,1,"0
"
2022-07-19 16:04:16.874259,0,"0
"
2022-07-19 16:05:46.806538,1,"0
"
2022-07-19 16:06:54.876394,1,"0
"
2022-07-19 16:09:19.246035,1,"0
"
2022-07-19 16:12:51.255435,1,"0
"
2022-07-19 16:13:59.512895,1,"0
"
2022-07-19 16:15:35.619257,0,"0
"
2022-07-19 16:17:11.916143,0,"0
"
2022-07-19 16:18:46.440885,1,"0
"
2022-07-19 16:19:54.768913,1,"0
"
2022-07-19 16:21:48.621135,1,"0
"
2022-07-19 16:24:18.883656,0,"0
"
2022-07-19 16:26:16.724575,0,"0
"
2022-07-19 16:27:53.293275,0,"0
"
2022-07-19 16:29:40.000387,0,"0
"
2022-07-19 16:31:20.443806,1,"0
"
2022-07-19 16:35:35.908474,0,"0
"
2022-07-19 16:39:12.170233,0,"0
"
2022-07-19 16:41:11.036224,0,"0
"
2022-07-19 16:42:19.211150,1,"0
"
2022-07-19 16:43:49.945573,1,"0
"
2022-07-19 16:47:14.063430,0,"0
"
2022-07-19 16:48:44.214940,1,"0
"
2022-07-19 16:50:20.367768,0,"0
"
2022-07-19 16:52:22.007348,1,"0
"
2022-07-19 17:16:49.061362,1,"0
"
2022-07-19 17:18:16.991396,0,"0
"
2022-07-19 17:22:10.981381,0,"0
"
2022-07-19 17:23:18.909908,1,"0
"
2022-07-19 17:25:16.038231,0,"0
"
2022-07-19 17:27:20.705586,1,"0
"
2022-07-19 17:29:21.645801,1,"0
"
2022-07-19 17:30:57.667027,0,"0
"
2022-07-19 17:32:05.897668,1,"0
"
2022-07-19 17:34:24.386038,0,"0
"
2022-07-19 17:37:46.272109,0,"0
"
2022-07-19 17:39:22.247761,0,"0
"
2022-07-19 17:40:30.190662,1,"0
"
2022-07-19 17:42:06.161279,0,"0
"
2022-07-19 17:44:56.471189,0,"0
"
2022-07-19 17:46:04.403899,1,"0
"
2022-07-19 17:47:12.636056,1,"0
"
2022-07-19 17:48:48.517648,0,"0
"
2022-07-19 17:50:56.185444,0,"0
"
2022-07-19 17:54:18.183352,0,"0
"
2022-07-19 17:55:26.084435,1,"0
"
2022-07-19 17:56:55.212888,1,"0
"
2022-07-19 17:58:56.668346,1,"0
"
2022-07-19 18:00:25.819490,1,"0
"
2022-07-19 18:04:55.779804,1,"0
"
2022-07-19 18:06:24.895583,1,"0
"
2022-07-19 18:08:00.802234,0,"0
"
2022-07-19 18:10:19.050916,0,"0
"
2022-07-20 08:34:27.279013,0,"0
"
2022-07-20 08:36:03.191033,0,"0
"
2022-07-20 08:53:10.454325,1,"0
"
2022-07-20 08:54:50.693783,2,"0
"
2022-07-20 08:56:22.335603,1,"0
"
2022-07-20 08:57:59.510064,1,"0
"
2022-07-20 08:59:50.673262,2,"0
"
2022-07-20 09:00:59.518590,2,"0
"
2022-07-20 09:03:06.268669,1,"0
"
2022-07-20 09:04:14.198374,1,"0
"
2022-07-20 09:06:14.898109,1,"0
"
2022-07-20 09:07:51.689986,0,"1
"
2022-07-20 09:09:28.511730,1,"0
"
2022-07-20 09:11:18.799163,1,"0
"
2022-07-20 09:12:55.736684,0,"1
"
2022-07-20 09:14:03.739282,1,"0
"
2022-07-20 09:15:22.139361,1,"0
"
2022-07-20 09:18:22.804098,0,"1
"
2022-07-20 09:19:52.333902,1,"0
"
2022-07-20 09:21:21.766554,1,"0
"
2022-07-20 09:24:23.205203,0,"1
"
2022-07-20 09:25:31.375702,1,"0
"
2022-07-20 09:27:21.562105,1,"0
"
2022-07-20 09:28:29.477957,1,"0
"
2022-07-20 09:30:48.706233,1,"0
"
2022-07-20 09:31:56.577552,1,"0
"
2022-07-20 09:33:04.488365,1,"0
"
2022-07-20 09:35:15.055054,0,"0
"
